No de Permiso,Nombre de la gasolinera,Dirección,Producto,Subproducto,Precio registrado,
PL/6710/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Coyoacan No. 107 Esquina Avenida Providencia,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/6749/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Insurgentes Sur No. 553 Esquina División del Norte,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/6749/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Insurgentes Sur No. 553 Esquina División del Norte,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/6936/EXP/ES/2015,SERVICIO EJE SEIS S.A. DE C.V.,Eje Seis Sur Independencia No. 110,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.89,
PL/6936/EXP/ES/2015,SERVICIO EJE SEIS S.A. DE C.V.,Eje Seis Sur Independencia No. 110,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.59,
PL/6936/EXP/ES/2015,SERVICIO EJE SEIS S.A. DE C.V.,Eje Seis Sur Independencia No. 110,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.39,
PL/6944/EXP/ES/2015,CONXO S.A. DE C.V.,Avenida Patriotismo No. 263,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.79,
PL/6944/EXP/ES/2015,CONXO S.A. DE C.V.,Avenida Patriotismo No. 263,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.79,
PL/6944/EXP/ES/2015,CONXO S.A. DE C.V.,Avenida Patriotismo No. 263,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.89,
PL/7395/EXP/ES/2015,SERVICIO AUTOMOTRIZ XOLA S.A. DE C.V.,Xola No. 135,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.74,
PL/7395/EXP/ES/2015,SERVICIO AUTOMOTRIZ XOLA S.A. DE C.V.,Xola No. 135,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99,
PL/8535/EXP/ES/2015,SERVICIO RIVIERA S. A.,Avenida División del Norte No. 1231,Gasolinas,Premium (con contenido mínimo de 92 octanos),$23.97,
PL/8535/EXP/ES/2015,SERVICIO RIVIERA S. A.,Avenida División del Norte No. 1231,Gasolinas,Regular (con contenido menor a 92 octanos),$23.03,
PL/941/EXP/ES/2015,SERVICIO DANIELA S.A. DE C.V.,Calzada de Tlalpan No. 985,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.89,
PL/941/EXP/ES/2015,SERVICIO DANIELA S.A. DE C.V.,Calzada de Tlalpan No. 985,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.79,
PL/941/EXP/ES/2015,SERVICIO DANIELA S.A. DE C.V.,Calzada de Tlalpan No. 985,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.29,
PL/963/EXP/ES/2015,"GPDC Estaciones de Servicio S. A. DE C. V.",Avenida Popocatépetl No. 415,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99,
PL/963/EXP/ES/2015,"GPDC Estaciones de Servicio S. A. DE C. V.",Avenida Popocatépetl No. 415,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.49,
PL/9673/EXP/ES/2015,SERVICIOS SIMPA S.A. DE C.V.,Torres Adalid No. 1401,Gasolinas,Regular (con contenido menor a 92 octanos),$22.80,
