No de Permiso,Nombre de la gasolinera,Dirección,Producto,Subproducto,Precio registrado
PL/1466/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Avenida Cuauhtémoc No. 1037,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/1466/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Avenida Cuauhtémoc No. 1037,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.09
PL/1466/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Avenida Cuauhtémoc No. 1037,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/1466/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Avenida Cuauhtémoc No. 1037,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.09
PL/1466/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Avenida Cuauhtémoc No. 1037,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/1466/EXP/ES/2015,"GPDC Estaciones de Servicio, S. A. DE C. V.",Avenida Cuauhtémoc No. 1037,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.09
PL/1613/EXP/ES/2015,SERVICIO AUTOMOTRIZ INSURGENTES S.A. DE C.V.,Avenida Insurgentes Sur No. 1428,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.49
PL/1613/EXP/ES/2015,SERVICIO AUTOMOTRIZ INSURGENTES S.A. DE C.V.,Avenida Insurgentes Sur No. 1428,Gasolinas,Regular (con contenido menor a 92 octanos),$24.99
PL/1613/EXP/ES/2015,SERVICIO AUTOMOTRIZ INSURGENTES S.A. DE C.V.,Avenida Insurgentes Sur No. 1428,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.49
PL/1613/EXP/ES/2015,SERVICIO AUTOMOTRIZ INSURGENTES S.A. DE C.V.,Avenida Insurgentes Sur No. 1428,Gasolinas,Regular (con contenido menor a 92 octanos),$24.99
PL/1613/EXP/ES/2015,SERVICIO AUTOMOTRIZ INSURGENTES S.A. DE C.V.,Avenida Insurgentes Sur No. 1428,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.49
PL/1613/EXP/ES/2015,SERVICIO AUTOMOTRIZ INSURGENTES S.A. DE C.V.,Avenida Insurgentes Sur No. 1428,Gasolinas,Regular (con contenido menor a 92 octanos),$24.99
PL/1613/EXP/ES/2015,SERVICIO AUTOMOTRIZ INSURGENTES S.A. DE C.V.,Avenida Insurgentes Sur No. 1428,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.49
PL/1613/EXP/ES/2015,SERVICIO AUTOMOTRIZ INSURGENTES S.A. DE C.V.,Avenida Insurgentes Sur No. 1428,Gasolinas,Regular (con contenido menor a 92 octanos),$24.99
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Diésel,Diésel,$24.84
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.88
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Gasolinas,Regular (con contenido menor a 92 octanos),$23.48
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Diésel,Diésel,$24.84
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.88
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Gasolinas,Regular (con contenido menor a 92 octanos),$23.48
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Diésel,Diésel,$24.84
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.88
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Gasolinas,Regular (con contenido menor a 92 octanos),$23.48
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Diésel,Diésel,$24.84
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.88
PL/1768/EXP/ES/2015,SERVICIO ERMITA S.A. DE C.V.,Calzada de Tlalpan No. 1577,Gasolinas,Regular (con contenido menor a 92 octanos),$23.48
PL/1781/EXP/ES/2015,SERVICIOS ESTRELLA S.A. DE C.V.,Calzada Ermita Iztapalapa No. 1565,Diésel,Diésel,$24.99
PL/1781/EXP/ES/2015,SERVICIOS ESTRELLA S.A. DE C.V.,Calzada Ermita Iztapalapa No. 1565,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.19
PL/1781/EXP/ES/2015,SERVICIOS ESTRELLA S.A. DE C.V.,Calzada Ermita Iztapalapa No. 1565,Gasolinas,Regular (con contenido menor a 92 octanos),$24.19
PL/1835/EXP/ES/2015,SERVICIO TERREMOTES S.A. DE C.V.,Calzada Ermita Iztapalapa No. 2120,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.99
PL/1835/EXP/ES/2015,SERVICIO TERREMOTES S.A. DE C.V.,Calzada Ermita Iztapalapa No. 2120,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.19
PL/1835/EXP/ES/2015,SERVICIO TERREMOTES S.A. DE C.V.,Calzada Ermita Iztapalapa No. 2120,Gasolinas,Regular (con contenido menor a 92 octanos),$24.19
PL/1880/EXP/ES/2015,SERVICIO NUEVA ROSITA S.A. DE C.V.,Contadores No. 20,Gasolina,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.99
PL/1880/EXP/ES/2015,SERVICIO NUEVA ROSITA S.A. DE C.V.,Contadores No. 20,Gasolina,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.59
PL/1973/EXP/ES/2015,JAPI S.A. DE C.V.,Calzada Ignacio Zaragoza No. 1900,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$24.66
PL/1973/EXP/ES/2015,JAPI S.A. DE C.V.,Calzada Ignacio Zaragoza No. 1900,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.66
PL/2094/EXP/ES/2015,MARÍA ARACELI ALEMAN SOLIS,Obrero Mundial No. 133,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.89
PL/2094/EXP/ES/2015,MARÍA ARACELI ALEMAN SOLIS,Obrero Mundial No. 133,Gasolinas,Regular (con contenido menor a 92 octanos),$23.79
PL/2094/EXP/ES/2015,MARÍA ARACELI ALEMAN SOLIS,Obrero Mundial No. 133,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.89
PL/2094/EXP/ES/2015,MARÍA ARACELI ALEMAN SOLIS,Obrero Mundial No. 133,Gasolinas,Regular (con contenido menor a 92 octanos),$23.79
PL/2094/EXP/ES/2015,MARÍA ARACELI ALEMAN SOLIS,Obrero Mundial No. 133,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.89
PL/2094/EXP/ES/2015,MARÍA ARACELI ALEMAN SOLIS,Obrero Mundial No. 133,Gasolinas,Regular (con contenido menor a 92 octanos),$23.79
PL/2094/EXP/ES/2015,MARÍA ARACELI ALEMAN SOLIS,Obrero Mundial No. 133,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.89
PL/2094/EXP/ES/2015,MARÍA ARACELI ALEMAN SOLIS,Obrero Mundial No. 133,Gasolinas,Regular (con contenido menor a 92 octanos),$23.79
PL/2207/EXP/ES/2015,SERVICIO LEYES DE REFORMA S.A. DE C.V.,Canal de Tezontle No. 2623,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.29
PL/2207/EXP/ES/2015,SERVICIO LEYES DE REFORMA S.A. DE C.V.,Canal de Tezontle No. 2623,Gasolinas,Regular (con contenido menor a 92 octanos),$22.79
